"","trust","build","differs","easy","appealing","rewarding","popular","service","impact"
"trust",1,0.592962476368493,0.489657593086443,0.686567610881562,0.621419942993204,0.625425842105013,0.575233868995464,0.718637467935627,0.562122202035243
"build",0.592962476368493,1,0.566697010626299,0.646930973197309,0.549282698299564,0.633196773617388,0.503493403139335,0.598458399232145,0.585065570013883
"differs",0.489657593086443,0.566697010626299,1,0.550957210660478,0.627769977498866,0.53688680431934,0.426264828515788,0.563227237351376,0.622255745977725
"easy",0.686567610881562,0.646930973197309,0.550957210660478,1,0.634745017667416,0.669459851637999,0.572153926898504,0.661978557679057,0.641569322462546
"appealing",0.621419942993204,0.549282698299564,0.627769977498866,0.634745017667416,1,0.686824698800827,0.56177419421233,0.620600039402783,0.59772021327793
"rewarding",0.625425842105013,0.633196773617388,0.53688680431934,0.669459851637999,0.686824698800827,1,0.527913950270716,0.658716889066584,0.58442292568953
"popular",0.575233868995464,0.503493403139335,0.426264828515788,0.572153926898504,0.56177419421233,0.527913950270716,1,0.56297806480929,0.486171166564306
"service",0.718637467935627,0.598458399232145,0.563227237351376,0.661978557679057,0.620600039402783,0.658716889066584,0.56297806480929,1,0.623918592950269
"impact",0.562122202035243,0.585065570013883,0.622255745977725,0.641569322462546,0.59772021327793,0.58442292568953,0.486171166564306,0.623918592950269,1
